--CRC------GameID--

8A8FC183 SLKA-25133
8AA8BEA6 SLKA-15035
8D9CBC4B SLKA-25137
8F14728A SLKA-25148
8F70DA43 SLKA-25009
900D62AA SLKA-64540
9134027F SLKA-25371
91F5D064 SLKA-25072
92037CC4 SLKA-25358
93421C9E SLKA-25219
94A0C34F SLKA-25264
94D2FAA2 SLKA-25359
950876FA SLKA-25328
9554A03C SLKA-25368
9669948F SLKA-25307
97A4995B SLKA-25121
9872000C SLKA-25007
98D833A0 SLKA-25073
99A8B4FF SLKA-25172
9A93FE5D SLKA-25082
9AB05FF8 SLKA-25031
9AD6381D SLKA-15030
9B0E119F SLKA-25407
9C5D24FF SLKA-25027
9CD1A85C SLKA-25313
9CF2D6C3 SLKA-25351
9D8201FB SLKA-25365
9FDF8B1E SLKA-25085
A101C8D5 SLKA-25463
A1CBBE50 SLKA-25346
A1F79484 SLKA-25330
A320AABE SLKA-25309
A37A7348 SLKA-25262
A49563FA SLKA-25384
A70A7299 SLKA-25116
A72F7A17 SLKA-25126
A745BF1E SLKA-15041
A7B09415 SLKA-25218
A8D433AD SLKA-25038
ACFB7A31 SLKA-25050
AD0C84EA SLKA-25026
AE97CE43 SLKA-25048
AFBEC8B7 SLKA-25064
B07FF0E6 SLKA-25138
B0D195EF SLKA-25353
B24520AD SLKA-25226
B31E8440 SLKA-25282
B35F8AAE SLKA-25385
B3734A96 SLKA-25015
B39683CE SLKA-35005
B47431E3 SLKA-25399
B5DB999E SLKA-15058
B7ADE017 SLKA-25156
B8605ABB SLKA-15009
B9545AD0 SLKA-25155
BB70F989 SLKA-25243
BC0F422C SLKA-15042
BC808780 SLKA-15028
BD11A6EE SLKA-25291
BFCCF369 SLKA-25100
C01FD223 SLKA-25020
C139D620 SLKA-25279
C2B6BDCC SLKA-25062
C45E77F4 SLKA-25199
C4FBEC7B SLKA-25099
C54646E9 SLKA-25149
C5D0EBD2 SLKA-25136
C69ACB6F SLKA-25251
C6C71A64 SLKA-25379
C6CBDE91 SLKA-25065
C8B06625 SLKA-25362
CA2073B3 SLKA-25299
CB0E0788 SLKA-25098
CDE017A7 SLKA-25327
D27095D6 SLKA-25187
D285B3DF SLKA-25146
D3FFC263 SLKA-25160
DA8488A4 SLKA-25380
DAFFFB0D SLKA-25093
DB0707F3 SLKA-25033
DB4EB6A9 SLKA-25041
DD35503C SLKA-15002
DF3FEFA9 SLKA-25213
E2051314 SLKA-25090
E29C09A3 SLKA-25397
E2A9676A SLKA-25080
E3795E39 SLKA-25063
E446C9F9 SLKA-25388
E5BE5D27 SLKA-25032
E600953D SLKA-25102
E8BF0F97 SLKA-25343
E94C9A02 SLKA-25366
EA39D6EF SLKA-25122
EA9B3268 SLKA-25337
EB328633 SLKA-25105
EEA60511 SLKA-25304
EF8BBFE6 SLKA-25345
F02B30E6 SLKA-15054
F1E2D375 SLKA-25258
F27AB8B3 SLKA-25140
F2E397C0 SLKA-25300
F3662F76 SLKA-25422
F506742F SLKA-25182
F5D214FB SLKA-25318
F9507A7C SLKA-25010
F9A37D6E SLKA-25270
FC04B01D SLKA-25315
FD3969E1 SLKA-25230
FDA2F2DF SLKA-25225
FEDC6572 SLKA-25060

8D726B7A SCPS-56012
8EFDBAEB SCPS-15115
9000252A SCPS-11006
91AA4B28 SCPS-15046
98448F6A SCPS-15058
98C1CE89 SCPS-56007
9F0248CB SCPS-15081
9F7246A3 SCPS-11024
9F7C1223 SCPS-15033
A35F68F7 SCPS-15113
A369B96F SCPS-15011
A3EA7249 SCPS-15034
A3F94251 SCPS-15041
B01A4C95 SCPS-11003
B4776FC1 SCPS-15095
BC53B2E5 SCPS-15059
BCF04BF3 SCPS-56008
BFF0261E SCPS-15019
C0E0549E SCPS-56013
C0FC849C SCPS-15022
C4A09BAD SCPS-15062
C6AAF4D4 SCPS-56011
CDEE4B19 SCPS-17013
CE2A5384 SCPS-11026
D641407A SCPS-11032
D73A8856 SCPS-56002
DE7A4924 SCPS-11001
DEAE8CF5 SCPS-15044
E77C2D4F SCPS-15069
E9012505 SCPS-15080
EB484B86 SCPS-15024
EB4A4786 SCPS-15024
EC064AC7 SCPS-15003
EC38E681 SCPS-15020
ECD8E386 SCPS-15004
F6430266 SCPS-17002
FDDE7528 SCPS-15053
FE0A6AB6 SCPS-15025

000B73EE SLPM-62543
00A074A7 SLPM-64513
1E7A88A7 SLPM-66750
46CFF455 SLPM-67531
7C012435 SLPM-65015
8AC3F5D6 SLPM-62258
8B365637 SLPM-62510
8B383FDF SLPM-66646
8C78493E SLPM-62102
8CF4E374 SLPM-67520
8CFE667F SLPM-65257
8D984276 SLPM-62718
8DF0A242 SLPM-66169
8E79F84B SLPM-65380
8F4FF912 SLPM-62467
8F82785A SLPM-65140
903CCECC SLPM-65218
915C2552 SLPM-64522
91EC035D SLPM-62391
927A79A4 SLPM-66810
9288AA35 SLPM-66031
929486F0 SLPM-65685
92F4C42E SLPM-65630
93379F97 SLPM-66374
93BB2306 SLPM-66910
93DC1B9F SLPM-65945
93F8A60B SLPM-66233
94C80119 SLPM-65477
950241D3 SLPM-65813
95264B6F SLPM-74209
958A6461 SLPM-65089
960D74D7 SLPM-65723
9685E636 SLPM-65688
96B2F56D SLPM-65038
970FEAB8 SLPM-65450
9717AB67 SLPM-65761
97F387BB SLPM-62547
9830E5FD SLPM-66572
988929F3 SLPM-62534
98CD9ACA SLPM-65805
992C9F92 SLPM-65324
99E75AF9 SLPM-55062
9A20738A SLPM-62758
9A409943 SLPM-65061
9BD28EB3 SLPM-67523
9BF472B8 SLPM-65574
9C071EBB SLPM-65846
9D5125EA SLPM-65407
9E0A16EE SLPM-62171
9E2ADF9C SLPM-65526
9EB4AA0B SLPM-65235
9F4A4C47 SLPM-65602
A0CD42B4 SLPM-65441
A1970E42 SLPM-66953
A268B71A SLPM-62196
A341986A SLPM-66321
A36CFF6C SLPM-65444
A3B0D1C7 SLPM-66714
A3F06070 SLPM-62244
A3F49264 SLPM-65248
A4D76B34 SLPM-62750
A5BD7ADC SLPM-62643
A6BD0DA3 SLPM-65826
A6F06ED5 SLPM-55122
A70549D6 SLPM-65752
A79B0491 SLPM-65809
A8901AD6 SLPM-65612
A8F42E9E SLPM-62384
A9416614 SLPM-62217
A9B076A1 SLPM-65872
AAF10C7F SLPM-65442
AB01411F SLPM-65270
AB09D7EC SLPM-65165
AB23A441 SLPM-66364
AB8AF16C SLPM-67512
ABD73B95 SLPM-62296
AC9F1FC0 SLPM-65434
ACBB45C3 SLPM-65596
AD9D2B54 SLPM-65384
ADFF13DF SLPM-66404
AE22A564 SLPM-66363
AEA1B3AD SLPM-66058
AECEA18C SLPM-62733
AEDAEE99 SLPM-66550
AEDB8BB2 SLPM-65378
AF95D8FC SLPM-65494
AFAC88EF SLPM-66271
AFDCDAF4 SLPM-55131
B0C15891 SLPM-55033
B195735F SLPM-62292
B1E138B6 SLPM-55082
B26172F0 SLPM-66212
B2B71761 SLPM-65480
B2EC9660 SLPM-65907
B3A9F9ED SLPM-66354
B3E715E6 SLPM-64501
B3F78DFA SLPM-62462
B43DC1BA SLPM-65565
B48102FB SLPM-62285
B4AC4EE0 SLPM-65218
B54C0319 SLPM-65047
B5622E87 SLPM-62186
B5C43B61 SLPM-55096
B5FEAE85 SLPM-68008
B60D30B6 SLPM-66748
B64E9939 SLPM-65555
B65C316F SLPM-65382
B66EEE75 SLPM-62093
B6AB7BC2 SLPM-65081
B733F841 SLPM-62505
B7E155F3 SLPM-65379
B808413B SLPM-66105
B818D3C4 SLPM-62404
B871726D SLPM-55262
B87A351F SLPM-65861
B8FD3094 SLPM-62236
B91DC726 SLPM-65613
B92C34BE SLPM-64539
B99379B7 SLPM-62623
B9DE6298 SLPM-65278
B9FA5764 SLPM-65268
BA147622 SLPM-66431
BB2E845F SLPM-65719
BCCCF3F3 SLPM-62344
BDF85A3C SLPM-65796
BE30EE2D SLPM-65670
BF410FEB SLPM-66885
BF4AD345 SLPM-66551
BFB0DFBE SLPM-65266
BFBFE018 SLPM-66916
C0451DE2 SLPM-65695
C0E5F643 SLPM-67502
C1497C84 SLPM-64551
C14A522A SLPM-65823
C1AA3AB2 SLPM-65267
C1C77637 SLPM-74232
C1C91715 SLPM-65885
C1D359F2 SLPM-64517
C2008A92 SLPM-65495
C2744CBE SLPM-62209
C37C1B76 SLPM-65514
C3B568F8 SLPM-65153
C3B698F9 SLPM-65845
C410973D SLPM-68513
C4DD197F SLPM-65008
C4F0E5CC SLPM-67540
C4F46C8A SLPM-65669
C53DB321 SLPM-62341
C5DEFEA0 SLPM-66375
C6B97484 SLPM-62264
C6F33C64 SLPM-65913
C7A7D6EE SLPM-65153
C89A66A4 SLPM-62618
C8E271AB SLPM-66777
C9D22492 SLPM-66590
CA295E61 SLPM-66436
CA857E71 SLPM-66848
CAFCF796 SLPM-65107
CB56E6FB SLPM-65700
CBD4D79E SLPM-65078
CBDBD79E SLPM-65077
CCC78A97 SLPM-55276
CD1EC9D0 SLPM-65704
CE3B7939 SLPM-62335
CEADAD75 SLPM-62418
CEBA4A74 SLPM-65391
CED0851A SLPM-67002
CED2D09E SLPM-68503
CED93EB6 SLPM-65952
CF26A74E SLPM-65443
D04A515C SLPM-65317
D06BF8A6 SLPM-66679
D090AC7F SLPM-66071
D09CC9AB SLPM-65781
D0CF2395 SLPM-65022
D0FDDA59 SLPM-65338
D1367113 SLPM-67526
D1B78388 SLPM-62589
D3B5CADB SLPM-65942
D4B9D03C SLPM-67524
D4D45FF4 SLPM-62109
D4E2D515 SLPM-62013
D4F61ACE SLPM-55252
D56DA4AB SLPM-65470
D5E8F99A SLPM-62097
D6E90E33 SLPM-55005
D6EF17F3 SLPM-65581
D70C3195 SLPM-65530
D757BEA0 SLPM-65196
D79F697A SLPM-65047
D7AE2B57 SLPM-65431
D8AA81A8 SLPM-66940
D8BB6A2E SLPM-62616
D8BE3E6E SLPM-64537
D8F11BD2 SLPM-62413
D9B8D6EB SLPM-66009
D9CD1A85 SLPM-55294
D9FB2413 SLPM-62046
DA0ECB30 SLPM-62328
DA6D80ED SLPM-65999
DB34F377 SLPM-65863
DB6B90FF SLPM-65013
DB88858E SLPM-66701
DBD2230B SLPM-65718
DBDE0864 SLPM-65206
DC0BFB60 SLPM-65692
DD70E38F SLPM-65308
DD93DA88 SLPM-62378
DD993211 SLPM-65123
DDC02A89 SLPM-66322
DDF29822 SLPM-66132
DDF76A98 SLPM-66739
DE8028AD SLPM-62399
DE85CB65 SLPM-62564
DECEBFAD SLPM-66867
DEE8838A SLPM-62702
DF0DD9E7 SLPM-62276
E0068D0A SLPM-66074
E1E0B924 SLPM-65967
E20A9B0A SLPM-66750
E263BC4B SLPM-65913
E2E6AD46 SLPM-65571
E3256609 SLPM-65076
E36E16C9 SLPM-65051
E37B178F SLPM-65005
E4672E95 SLPM-67522
E46BD847 SLPM-65331
E48CAA01 SLPM-66576
E511E11E SLPM-67533
E518FD91 SLPM-65915
E5E683C9 SLPM-66710
E6E4CC91 SLPM-62209
E7DE50CA SLPM-65303
E90BE9F8 SLPM-68005
E94C216C SLPM-65014
E9958CE3 SLPM-65724
EA182A26 SLPM-65336
EA1DB598 SLPM-62224
EB925207 SLPM-25401
EC33CA0D SLPM-66022
EC529173 SLPM-66270
ED32D333 SLPM-65262
EDBA4A98 SLPM-65458
EDD8A976 SLPM-62002
EEC3B310 SLPM-65053
EEE2C773 SLPM-66878
EEFCB0E6 SLPM-62118
EF475537 SLPM-62470
F03336E3 SLPM-65947
F0E90890 SLPM-66008
F2386C7B SLPM-64521
F266B00B SLPM-66675
F27FDE85 SLPM-65483
F293D7F6 SLPM-65791
F32B1B28 SLPM-66595
F33C3759 SLPM-66181
F345D272 SLPM-65227
F379C8BB SLPM-65184
F42DD317 SLPM-65603
F4654032 SLPM-62416
F478B7F9 SLPM-62588
F4D474EB SLPM-65985
F4D84B68 SLPM-67543
F56C7948 SLPM-66030
F60255AC SLPM-66205
F66FAFB2 SLPM-55231
F674431F SLPM-65816
F6755E76 SLPM-65503
F68EFE2B SLPM-62126
F694D3D9 SLPM-66698
F84FE9DE SLPM-64524
F8643F9B SLPM-62114
F87B9B78 SLPM-65167
F881A604 SLPM-62029
F93AB3D0 SLPM-65590
F977249C SLPM-65824
F97D5A55 SLPM-62214
F9C5F9B3 SLPM-65401
F9CA661E SLPM-66511
FA2726BE SLPM-65488
FA38CA6F SLPM-62066
FA600E3B SLPM-62555
FA861ED2 SLPM-65635
FAE6A6F6 SLPM-62538
FAF99301 SLPM-66675
FB196496 SLPM-65236
FBE5B48C SLPM-65824
FC26483A SLPM-65412
FD8719A1 SLPM-66728
FE62008B SLPM-65767
FE830EBC SLPM-62041
FED78EB4 SLPM-62274
FF6BA78B SLPM-65048
FFDF5E63 SLPM-66000

28244492 SLPS-25686
